state_fips,county_fips,year,race,age_adjusted_rate,weight
48,291,1999,0,6341.8,262.0324407396916
48,293,2017,0,4336.8,0
48,293,2016,0,4597.3,153.1926891205974
48,293,2015,0,5245.4,153.03921066184313
48,293,2014,0,4694.2,153.1567824159283
48,293,2013,0,4893.1,152.84632805533798
48,293,2012,0,4430.5,153.74979674783313
48,293,2011,0,4882,153.48289807011074
48,293,2010,0,5175.4,153.18289721767243
48,293,2009,0,5381.2,152.22680447279973
48,293,2008,0,5924.5,151.87165634179408
48,293,2007,0,5395.4,151.95394038984313
48,293,2006,0,5526.9,151.96381148154978
48,293,2005,0,5981.9,151.39022425506872
48,293,2004,0,5738.8,151.4661678395542
48,293,2003,0,5263.4,150.7348665704123
48,293,2002,0,5872.4,149.95332607181476
48,293,2001,0,5879,148.8589936819405
48,293,2000,0,5763.1,148.50252523105456
48,293,1999,0,6798.6,147.9121360808504
48,295,2016,0,NA,59.0508255657785
48,295,2015,0,NA,59.60704656330491
48,295,2014,0,3911.1,59.62382074305537
48,295,2013,0,4282.7,59.02541825349483
48,295,2012,0,4186.1,58.7962583843564
48,295,2011,0,4696.5,57.83597496368502
48,295,2010,0,NA,57.30619512757761
48,295,2009,0,5616.5,57.67148342118486
48,295,2008,0,5500.8,56.418082207746124
48,295,2007,0,5107.5,56.37375275782161
48,295,2006,0,5778.2,55.812185049503306
48,295,2005,0,4449.2,55.29014378711634
48,295,2004,0,5878.2,55.02726596879042
48,295,2003,0,5449.3,55.65069631190611
48,295,2002,0,5075.4,55.072679252057455
48,295,2001,0,4527.3,54.29548784199291
48,295,2000,0,5725,55
48,295,1999,0,4162,55.65069631190611
48,297,2017,0,3910,0
48,297,2016,0,4390.2,109.79981785048643
48,297,2015,0,4505.3,110.53958566956908
48,297,2014,0,3775.3,109.88630487917955
48,297,2013,0,3911.1,108.85311203635843
48,297,2012,0,4236.3,108.08792717042917
48,297,2011,0,3429.9,107.38715006927039
48,297,2010,0,3482.3,107.4569681314339
48,297,2009,0,3657,106.81760154581266
48,297,2008,0,4049.3,107.14009520249644
48,297,2007,0,3750.5,107.36852425175638
48,297,2006,0,3331.9,107.51278993682565
48,297,2005,0,3143,107.84711400867434
48,297,2004,0,3260.5,108.11567878897121
48,297,2003,0,3954.4,108.48041297856494
48,297,2002,0,4224,109.33892262136115
48,297,2001,0,4429,109.86810274142354
48,297,2000,0,4719.4,110.60289327137876
48,297,1999,0,4965.5,110.41286156965592
48,299,2016,0,3591.9,142.6954799564443
48,299,2015,0,3854.9,140.84743519141554
48,299,2014,0,3781.5,139.48835076808385
48,299,2013,0,3793.9,139.13662350366275
48,299,2012,0,3923.1,138.20998516749793
48,299,2011,0,3744,137.65173446055812
48,299,2010,0,4308.3,139.07551905349843
48,299,2009,0,3733.7,138.4738242412623
48,299,2008,0,4263.3,137.96376335835436
48,299,2007,0,3839,137.6045057401828
48,299,2006,0,4319.5,136.02205703487945
48,299,2005,0,4532.9,135.73871960498226
48,299,2004,0,4384.6,134.98148021117564
48,299,2003,0,3721.6,134.73306943731373
48,299,2002,0,4774,133.68619973654722
48,299,2001,0,4291,132.28378585450298
48,299,2000,0,4456.9,130.6789960169575
48,299,1999,0,4376.1,128.49124483792662
48,301,2016,0,NA,10.63014581273465
48,301,2015,0,NA,10.723805294763608
48,301,2014,0,NA,9.327379053088816
48,301,2013,0,NA,10.14889156509222
48,301,2012,0,NA,9
48,301,2011,0,NA,9.746794344808963
48,301,2010,0,NA,9.1104335791443
48,301,2009,0,NA,8.774964387392123
48,301,2008,0,NA,7.810249675906654
48,301,2007,0,NA,8.888194417315589
48,301,2006,0,NA,8.660254037844387
48,301,2005,0,NA,8.366600265340756
48,301,2004,0,NA,7.416198487095663
48,301,2003,0,NA,8.48528137423857
48,301,2002,0,NA,8.660254037844387
48,301,2001,0,NA,8.12403840463596
48,301,2000,0,NA,8.06225774829855
48,301,1999,0,NA,8.774964387392123
48,303,2017,0,4972.5,0
48,303,2016,0,4690.5,550.5787863693987
48,303,2015,0,4781.9,546.816239700322
48,303,2014,0,4905.7,543.1859718365341
48,303,2013,0,4698.6,538.4904827385532
48,303,2012,0,4836.3,535.0149530620616
48,303,2011,0,4780.4,532.4190079251491
48,303,2010,0,5044.3,529.4478255692434
48,303,2009,0,5150.2,523.6907484384271
48,303,2008,0,5080.7,517.8773986186305
48,303,2007,0,5015.1,514.99029117062
48,303,2006,0,5160.3,511.62583984783254
48,303,2005,0,5223.9,507.7194106984684
48,303,2004,0,4870.5,505.63722173115383
48,303,2003,0,5439,503.3765985820159
48,303,2002,0,5267.2,499.40664793332496
48,303,2001,0,5219,496.6044703785901
48,303,2000,0,5391.1,493.0608481719067
48,303,1999,0,5540.1,490.68931107168004
48,305,2016,0,4031.4,75.57115851963631
48,305,2015,0,3911.1,75.46522377890362
48,305,2014,0,4845.6,75.78258375114957
48,305,2013,0,4071.8,75.45859791965393
48,305,2012,0,5008.1,75.9802605944465
48,305,2011,0,4484.9,76.68767828015137
48,305,2010,0,3346.8,76.83098333354845
48,305,2009,0,4293.3,76.98701189161714
48,305,2008,0,4144.1,77.01947805587882
48,305,2007,0,5157.4,77.38862965578342
48,305,2006,0,4267.9,78.689262291624
48,305,2005,0,4750,78.60025445251433
48,305,2004,0,4577.6,78.56207736560943
48,305,2003,0,7426.5,78.9430174239622
48,305,2002,0,6269.2,80.1311425102625
48,305,2001,0,4631.2,80.2745289615579
48,305,2000,0,6735.9,80.55432949258531
48,305,1999,0,6595.5,81.39410298049853
48,307,2016,0,3318.7,90.39911503991618
48,307,2015,0,4857.9,91.18662182579197
48,307,2014,0,4817.4,90.4267659490264
48,307,2013,0,5208.1,90.9450383473447
48,307,2012,0,3983.4,90.95603333479313
